lad21cd,local_authority,population,imd_average_score,ruc21_settlement_class,rurality,collection_type,household_collected,household_recycled,household_recycle_rate,population_density
E07000141,South Kesteven,143787,13.499,Intermediate urban,0.322,Co-Mingled,56126,22298,0.397284680896554,152.545264577657
E07000142,West Lindsey,95570,20.355,Rural,0.748,Co-Mingled,41515,17082,0.411465735276406,82.5550244990544
E07000143,Breckland,142164,19.614,Intermediate rural,0.488,Co-Mingled,55344,22245,0.401940589765828,108.928195252501
E07000144,Broadland,132247,11.817,Rural,0.512,Co-Mingled,53751,27203,0.506092909899351,239.039097937143
E07000145,Great Yarmouth,100146,33.097,Intermediate urban,0.348,Co-Mingled,40122,12432,0.309854942425602,548.578442134597
E07000146,King's Lynn and West Norfolk,154910,23.72,Rural,0.579,Co-Mingled,64404,25970,0.403235823861872,101.45478313871
E07000147,North Norfolk,103257,21.058,Rural,0.875,Co-Mingled,45507,19238,0.422748148636474,104.286500113944
E07000148,Norwich,143118,27.599,Urban,0,Co-Mingled,47121,18666,0.396129114407589,3529.0588454715
E07000149,South Norfolk,142527,13.318,Rural,0.672,Co-Mingled,55914,24121,0.431394641771292,156.811508541537
E07000163,Craven,57090,12.76,Rural,0.577,Co-Mingled,21821,8575,0.392970074698685,48.4303016168845
E07000164,Hambleton,91037,11.987,Rural,0.661,Two Stream,36200,17454,0.482154696132597,69.4280331533523
E07000165,Harrogate,164105,10.897,Intermediate urban,0.33,Multi-Stream,55349,23552,0.425518076207339,125.35540203501
E07000166,Richmondshire,50358,12.135,Rural,0.706,Multi-Stream,19330,7822,0.404655975168132,38.1875315442474
E07000167,Ryedale,54897,15.665,Rural,0.735,Multi-Stream,22957,10570,0.460426013851984,36.4378171011679
E07000168,Scarborough,108959,26.28,Intermediate urban,0.306,Co-Mingled,45807,16454,0.359202741939005,131.990721869721
E07000169,Selby,92401,12.73,Rural,0.694,Multi-Stream,41477,18151,0.437616028160185,153.431930976254
E07000170,Ashfield,126372,26.308,Urban,0.041,Two Stream,48123,17823,0.370363443675581,1153.47183955033
E07000171,Bassetlaw,118351,22.588,Intermediate rural,0.407,Co-Mingled,46786,12364,0.264267088445261,185.07014636311
E07000172,Broxtowe,110813,14.238,Urban,0.004,Two Stream,42190,15042,0.356529983408391,1383.45319781527
E07000173,Gedling,117298,14.894,Urban,0.157,Two Stream,46124,15259,0.330825600555026,977.634001875706
E07000174,Mansfield,110602,28.503,Urban,0.114,Co-Mingled,45466,14587,0.320833150046188,1442.06612526454
E07000175,Newark and Sherwood,123383,19.227,Intermediate rural,0.429,Co-Mingled,47677,16481,0.3456803070663,189.285534139241
E07000176,Rushcliffe,119438,7.18,Intermediate rural,0.488,Co-Mingled,48179,23109,0.479648809647357,291.859227600911
E07000177,Cherwell,161837,14.41,Intermediate urban,0.288,Co-Mingled,65456,36174,0.552646052309949,274.886502294287
E07000178,Oxford,160021,16.707,Urban,0.008,Co-Mingled,44215,22645,0.512156507972408,3509.00803677374
E07000179,South Oxfordshire,150024,8.459,Rural,0.597,Co-Mingled,54228,33986,0.62672420151951,221.104293219143
E07000180,Vale of White Horse,139487,8.358,Intermediate rural,0.391,Co-Mingled,48589,30053,0.618514478585688,241.051629152375
E07000181,West Oxfordshire,115161,8.684,Rural,0.559,Multi-Stream,45412,26184,0.576587686074165,161.194637884651
E07000187,Mendip,116285,16.6,Rural,0.524,Two Stream,266473,149880,0.562458485475076,157.261872984464
E07000188,Sedgemoor,125752,21.306,Intermediate rural,0.375,Two Stream,266473,149880,0.562458485475076,207.529510227519
E07000189,South Somerset,173173,17.347,Rural,0.627,Two Stream,266473,149880,0.562458485475076,180.565697910353
E07000192,Cannock Chase,100590,20.426,Urban,0.104,Co-Mingled,40063,16800,0.419339540224147,1275.18662840745
E07000193,East Staffordshire,124477,19.028,Intermediate urban,0.216,Two Stream,48874,20434,0.418095510905594,319.182301420914
E07000194,Lichfield,106909,12.566,Intermediate urban,0.275,Co-Mingled,43289,19569,0.452054794520548,322.70096377352
E07000195,Newcastle-under-Lyme,123025,18.929,Urban,0.191,Two Stream,47223,22446,0.475319230036211,583.174832056634
E07000196,South Staffordshire,110793,13.124,Intermediate rural,0.415,Co-Mingled,44355,20173,0.454807800698907,272.003307373126
E07000197,Stafford,137231,13.678,Intermediate urban,0.294,Two Stream,54682,25378,0.464101532496983,229.417202097401
E07000198,Staffordshire Moorlands,95993,15.04,Intermediate urban,0.31,Co-Mingled,40141,21880,0.545078597942254,166.697976798129
E07000199,Tamworth,78838,21.061,Urban,0,Co-Mingled,30436,11601,0.381160467867,2555.46720320285
E07000200,Babergh,92723,14.267,Rural,0.683,Co-Mingled,75444,30924,0.409893430889136,151.60623847887
E07000202,Ipswich,139614,25.89,Urban,0,Co-Mingled,55102,18052,0.327610613044899,3464.35628208195
E07000203,Mid Suffolk,103417,13.225,Rural,0.735,Co-Mingled,75444,30924,0.409893430889136,118.724009900153
E07000207,Elmbridge,139369,7.944,Urban,0.01,Co-Mingled,52561,26944,0.512623428016971,1446.7228869458
E07000208,Epsom and Ewell,80998,8.833,Urban,0.019,Two Stream,30062,16327,0.543110904131462,2376.76095923139
E07000209,Guildford,143929,9.395,Urban,0.164,Co-Mingled,54330,32241,0.59342904472667,531.238213614896
E07000210,Mole Valley,87608,9.511,Intermediate urban,0.254,Co-Mingled,33151,17966,0.541944436065277,339.143995662531
E07000211,Reigate and Banstead,151423,11.276,Urban,0.043,Two Stream,55903,31057,0.555551580416078,1172.51354118128
E07000212,Runnymede,87739,12.012,Urban,0.012,Co-Mingled,28867,14313,0.495825683306197,1124.27252657825
E07000213,Spelthorne,102995,14.943,Urban,0.009,Co-Mingled,36605,16970,0.46359786914356,2013.14028076223
E07000214,Surrey Heath,90645,8.066,Urban,0.103,Co-Mingled,31928,18907,0.592176146329241,953.225146327735
E07000215,Tandridge,88143,11.896,Intermediate urban,0.344,Co-Mingled,33894,20318,0.599457131055644,355.136698134595
E07000216,Waverley,128878,7.494,Urban,0.178,Co-Mingled,47147,27780,0.58922094725009,373.375180709581
E07000217,Woking,103889,10.804,Urban,0.008,Co-Mingled,35495,18266,0.514607691224116,1633.38229821057
E07000218,North Warwickshire,65340,17.907,Rural,0.584,Co-Mingled,28088,10205,0.363322415266306,229.858772184047
E07000219,Nuneaton and Bedworth,134291,23.54,Urban,0,Two Stream,51389,19838,0.386035922084493,1700.9563512269
E07000220,Rugby,114829,14.119,Intermediate urban,0.224,Co-Mingled,42087,18197,0.432366288877801,324.781877595315
E07000221,Stratford-on-Avon,135964,11.728,Rural,0.729,Co-Mingled,58040,32206,0.554893177119228,139.041111103326
E07000222,Warwick,148729,12.005,Urban,0.135,Two Stream,55524,30008,0.540450976154456,525.762798233235
E07000223,Adur,64626,17.594,Urban,0,Co-Mingled,19607,8123,0.414290814505024,1480.61961039748
E07000224,Arun,165225,18.638,Urban,0.044,Co-Mingled,60061,25596,0.426166730490668,735.303049303107
E07000225,Chichester,124531,14.085,Rural,0.502,Co-Mingled,47632,22392,0.470104131676184,153.284939432719
E07000226,Crawley,118580,18.94,Urban,0,Co-Mingled,35267,11072,0.313947883290328,2636.79847742023
E07000227,Horsham,147487,9.89,Rural,0.516,Co-Mingled,56683,30093,0.530899917082723,277.773114501559
E07000228,Mid Sussex,152949,7.747,Urban,0.19,Co-Mingled,52451,22474,0.428476101504261,457.891069878517
E07000229,Worthing,111657,17.012,Urban,0,Co-Mingled,39195,17101,0.436305651231024,3305.11826642978
E07000234,Bromsgrove,99475,11.697,Intermediate urban,0.203,Co-Mingled,40936,17108,0.417920656634747,458.476731451615
E07000235,Malvern Hills,79973,16.066,Rural,0.542,Co-Mingled,26974,11147,0.413249796099948,138.584338542108
E07000236,Redditch,86996,22.524,Urban,0.015,Co-Mingled,28279,8008,0.283178330209696,1603.58594767385
E07000237,Worcester,103617,20.414,Urban,0,Co-Mingled,33188,12035,0.362631071471616,3113.66700877472
E07000238,Wychavon,133100,15.766,Rural,0.52,Co-Mingled,51272,22379,0.436476049305664,200.590174133872
E07000239,Wyre Forest,101786,22.437,Intermediate urban,0.213,Co-Mingled,38665,13042,0.337307642570801,520.901032306032
E07000240,St Albans,148641,8.339,Urban,0.167,Two Stream,53046,33127,0.624495720695246,922.056970298316
E07000241,Welwyn Hatfield,119538,14.215,Urban,0.138,Two Stream,40916,20696,0.505816795385668,922.810436354344
E07000242,East Hertfordshire,150687,8.188,Intermediate urban,0.299,Two Stream,56849,26327,0.463104012383683,316.789548135481
E07000243,Stevenage,89320,19.695,Urban,0,Multi-Stream,32615,12941,0.396780622413,3439.45358430118
E07000244,East Suffolk,246801,19.56,Intermediate rural,0.362,Co-Mingled,102396,41397,0.404283370444158,190.608303201145
E07000245,West Suffolk,180820,16.245,Intermediate rural,0.428,Co-Mingled,70658,25761,0.36458716635059,174.760058162978
E07000246,Somerset West and Taunton,157909,19.142,Intermediate rural,0.351,Two Stream,266473,149880,0.562458485475076,130.444768712535
E08000001,Bolton,296041,30.691,Urban,0.004,Two Stream,93352,47511,0.5089446396435,2117.72425980754
E08000002,Bury,193823,23.682,Urban,0.019,Two Stream,64376,34664,0.538461538461538,1948.75078167729
