lad21cd,local_authority,in_lad,wa21cd,population,collection_type,collection_type_sort,in_foi,waste_authority,waste_authority_type,total_collected,total_recycled,total_not_recycled,total_rejects,household_collected,household_recycled,household_not_recycled,household_rejects,non_household_collected,non_household_recycled,non_household_not_recycled,non_household_rejects,in_rec,household_recycle_rate,rgn21cd,region,bng_e,bng_n,long,lat,household_collected_per_cap
E07000011,Huntingdonshire,Y,E07000011,181804,Co-Mingled,1,Y,Huntingdonshire District Council,Collection,74917,40451,34467,1490,72830,40451,32379,1490,2087,0,2087,0,Y,0.555416723877523,E12000006,East of England,521008,274269,-0.2247,52.3531,0.400596246507228
E07000012,South Cambridgeshire,Y,E50000008,163002,Co-Mingled,1,Y,Cambridge City and South Cambs Councils,Collection,118550,58283,60268,3229,107230,52437,54793,3229,11320,5846,5475,0,Y,0.489014268395039,E12000006,East of England,543295,247586,0.091017,52.1081,0.657844689022221
E07000026,Allerdale,Y,E07000026,96384,Two Stream,2,Y,Allerdale Borough Council,Collection,46320,16117,30202,278,40856,14707,26148,278,5464,1410,4054,0,Y,0.359971607597415,E12000002,North West,317520,532997,-3.2809,54.6852,0.423887782204515
E07000027,Barrow-in-Furness,Y,E07000027,67375,Two Stream,2,Y,Barrow-in-Furness Borough Council,Collection,25707,4519,21189,2646,25474,4519,20955,2646,234,0,234,0,Y,0.177396561199655,E12000002,North West,321741,474165,-3.1999,54.1573,0.378092764378479
E07000028,Carlisle,Y,E07000028,110255,Multi-Stream,3,Y,Carlisle City Council,Collection,44574,18284,26290,7,44568,18280,26289,7,6,5,1,0,Y,0.410159755878657,E12000002,North West,348576,565154,-2.80498,54.9783,0.404226565688631
E07000029,Copeland,Y,E07000029,67176,Multi-Stream,3,Y,Copeland Borough Council,Collection,29903,9865,20038,79,27307,9775,17532,79,2595,90,2506,0,Y,0.357966821694071,E12000002,North West,310871,508739,-3.37664,54.4662,0.406499345004168
E07000030,Eden,Y,E07000030,54955,Multi-Stream,3,Y,Eden District Council,Collection,22535,9316,13219,127,21137,9316,11821,127,1398,0,1398,0,Y,0.440743719543928,E12000002,North West,359636,526396,-2.62678,54.6311,0.38462378309526
E07000031,South Lakeland,Y,E07000031,104676,Multi-Stream,3,Y,South Lakeland District Council,Collection,45346,20398,24948,1,45328,20398,24930,1,18,0,18,0,Y,0.450008824567596,E12000002,North West,349265,489555,-2.78108,54.2991,0.433031449424892
E07000032,Amber Valley,Y,E07000032,126489,Two Stream,2,Y,Amber Valley Borough Council,Collection,50730,14536,36194,2022,48186,14230,33956,2022,2544,306,2238,0,Y,0.295313991615822,E12000004,East Midlands,436166,348084,-1.46219,53.0288,0.380950122145009
E07000033,Bolsover,Y,E07000033,80476,Two Stream,2,Y,Bolsover District Council,Collection,35607,13235,22372,1262,34347,13235,21112,1262,1260,0,1260,0,Y,0.385332052289865,E12000004,East Midlands,448666,371548,-1.27228,53.2388,0.426798051593022
E07000034,Chesterfield,Y,E07000034,103672,Two Stream,2,Y,Chesterfield Borough Council,Collection,44335,17905,26430,1929,41584,17869,23716,1929,2750,36,2714,0,Y,0.429708541746826,E12000004,East Midlands,440049,373359,-1.40115,53.2557,0.401111196851609
E07000035,Derbyshire Dales,Y,E07000035,71681,Two Stream,2,Y,Derbyshire Dales District Council,Collection,28464,13739,14725,780,26376,13592,12784,780,2088,147,1940,0,Y,0.515316954807401,E12000004,East Midlands,419697,358493,-1.70711,53.1233,0.36796361657901
E07000036,Erewash,Y,E07000036,113047,Co-Mingled,1,Y,Erewash Borough Council,Collection,48802,19683,29119,578,46898,19593,27305,578,1905,90,1815,0,Y,0.417779009765875,E12000004,East Midlands,443721,338063,-1.3509,52.9382,0.414853998779269
